rc_index_no,rc_book,rc_continent,rc_patria_original,rc_patria,rc_list_number_original,rc_list_number,weber_list_no,pp_page,schnetz_page,rc_toponym,weber_look_up_key,weber_no,tp_name_weber,tp_alt_name_weber,talbert_gridsquare,talbert_id,rc_name_weber,rc_name,rc_uri,rc_page,rc_itinerary,rc_itin_no,ku_id,on_tp,pleiades_id,ku_gridsquare,ku_name_lookup,talbert_name_lookup,pleiades_name_lookup,ku_uri_lookup,talbert_uri_lookup,pleiades_uri_lookup,rep_lat,rep_long,ku_x,ku_y,region_id,region,primary_source,other_sources
21,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,41,15,Antiochia,1 Antiochia,226,Antiohia Tharmata,Anтıohıa тharmaтa.,R. Talbert: * 11B5 ,2794,II1 Antiochia,Antiochia,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1941,TRUE,60420, 11B5,Antiohia Tharmata,Antiohia tharmata,Antiochia Tharmata/Arma,https://tp-online.ku.de/trefferanzeige_en.php?id=1941,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2794.html,https://pleiades.stoa.org/places/60420,0,0,0.604135225,-0.020206332,2.1,India Dimirica Evilat,Castorius (Roman),-
22,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,41,15,Tarmata,1 Tarmata,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
23,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,41,15,Dosara,1 Dosara,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
24,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,41,15,Coropatina,1 Coropatina,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
25,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,41,15,Garafana,1 Garafana,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
26,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,41,15,Coliphissindorum,1 Coliphissindorum,653,Colcisindo(rum),colcıſınꝺoꝝ. ꝺcxxv,R. Talbert: Colcisindor(vm) 11C5 ,2789,II1 Coliphissindorum,Coliphissindorum,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1935,TRUE,50064, 11C5,Colcisindorum,Colcisindor(vm),Kolchoi,https://tp-online.ku.de/trefferanzeige_en.php?id=1935,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2789.html,https://pleiades.stoa.org/places/50064,8.612651,78.01884,0.596869655,-0.025392702,2.1,India Dimirica Evilat,Castorius (Roman),-
27,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,41,15,Calippa,1 Calippa,506,Cali(pp)e,Calıppe. cc.xx,R. Talbert: * 11C5 ,2791,II1 Calippa,Calippa,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1938,TRUE,/, 11C5,Calippe,Calippe,,https://tp-online.ku.de/trefferanzeige_en.php?id=1938,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2791.html,,0,0,0.603258943,-0.023359336,2.1,India Dimirica Evilat,Castorius (Roman),-
28,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,42,15,Pitinna,1 Pitinna,1505,[Pitinna],[ ],R. Talbert: --- 11C5 ,2792,II1 Pitinna,Pitinna,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,1939,TRUE,50219,11C5,[Pitinna] (Miller),"(symbol, no name, no. 77)",Pitoura,https://tp-online.ku.de/trefferanzeige_en.php?id=1939,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2792.html,https://pleiades.stoa.org/places/50219,16.346845,80.031192,0.605202833,-0.022701131,2.1,India Dimirica Evilat,Castorius (Roman),-
29,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,42,15,Camagora,1 Camagora,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
30,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,42,15,Paloris,1 Paloris,867,Fl(umen) Paleris,̅Fl. Palerıſ.,R. Talbert: * 11C4-11B5 ,3504,II1 Paloris,Paloris,"<a href=""sources.html?pars=2&amp;typ=rc#c1""",2,c1,1,,TRUE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
