rc_index_no,rc_book,rc_continent,rc_patria_original,rc_patria,rc_list_number_original,rc_list_number,weber_list_no,pp_page,schnetz_page,rc_toponym,weber_look_up_key,weber_no,tp_name_weber,tp_alt_name_weber,talbert_gridsquare,talbert_id,rc_name_weber,rc_name,rc_uri,rc_page,rc_itinerary,rc_itin_no,ku_id,on_tp,pleiades_id,ku_gridsquare,ku_name_lookup,talbert_name_lookup,pleiades_name_lookup,ku_uri_lookup,talbert_uri_lookup,pleiades_uri_lookup,rep_lat,rep_long,ku_x,ku_y,region_id,region,primary_source,other_sources
259,2,Asia,Arabia Eudaemon,Arabia Eudaemon,6a,6a,6,57,19,Sacamum,6 Sacamum,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.6,Arabia Eudaemon,Castorius (Roman),-
260,2,Asia,Arabia Eudaemon,Arabia Eudaemon,6a,6a,6,57,19,Cornan,6 Cornan,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.6,Arabia Eudaemon,Castorius (Roman),-
261,2,Asia,Arabia Eudaemon,Arabia Eudaemon,6a,6a,6,57,19,Leuce come,6 Leuce come,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.6,Arabia Eudaemon,Castorius (Roman),-
262,2,Asia,Arabia Eudaemon,Arabia Eudaemon,6a,6a,6,57,19,Corona,6 Corona,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.6,Arabia Eudaemon,Castorius (Roman),-
263,2,Asia,Arabia Eudaemon,Arabia Eudaemon,6a,6a,6,57,19,Salatim,6 Salatim,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.6,Arabia Eudaemon,Castorius (Roman),-
264,2,Asia,Arabia Eudaemon,Arabia Eudaemon,6a,6a,6,57,19,Carcha,6 Carcha,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.6,Arabia Eudaemon,Castorius (Roman),-
265,2,Asia,Arabia Eudaemon,Arabia Eudaemon,6a,6a,6,57,19,Gera,6 Gera,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.6,Arabia Eudaemon,Castorius (Roman),-
266,2,Asia,Arabia Eudaemon,Arabia Eudaemon,6a,6a,6,57,19,"Taboca,","6 Taboca,",,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.6,Arabia Eudaemon,Castorius (Roman),-
267,2,Asia,Arabia Eudaemon,Arabia Eudaemon,6a,6a,6,57,19,Coromanis,6 Coromanis,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.6,Arabia Eudaemon,Castorius (Roman),-
268,2,Asia,Arabia Eudaemon,Arabia Eudaemon,6a,6a,6,57,19,Matramis ,6 Matramis ,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.6,Arabia Eudaemon,Castorius (Roman),-
269,2,Asia,Arabia Eudaemon,Arabia Eudaemon,6a,6a,6,58,19,Tabam,6 Tabam,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.6,Arabia Eudaemon,Castorius (Roman),-
270,2,Asia,Arabia Eudaemon,Arabia Eudaemon,6a,6a,6,58,19,Ommae,6 Ommae,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.6,Arabia Eudaemon,Castorius (Roman),-
271,2,Asia,Arabia Eudaemon,Arabia Eudaemon,6a,6a,6,58,19,Samematride,6 Samematride,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.6,Arabia Eudaemon,Castorius (Roman),-
272,2,Asia,Arabia Eudaemon,Arabia Eudaemon,6a,6a,6,58,19,Castrillum,6 Castrillum,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.6,Arabia Eudaemon,Castorius (Roman),-
273,2,Asia,Arabia Eudaemon,Arabia Eudaemon,6a,6a,6,58,19,Amarium,6 Amarium,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.6,Arabia Eudaemon,Castorius (Roman),-
274,2,Asia,Arabia Major,Arabia Major,7a,7a,7,58,19,Orea enpurium,7 Orea enpurium,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.7,Arabia Major,Castorius (Roman),-
275,2,Asia,Arabia Major,Arabia Major,7a,7a,7,58,19,Arsinoe enpurium,7 Arsinoe enpurium,,,,,,,,,,,,0,FALSE,39295,,,,Arsinoe,,,https://pleiades.stoa.org/places/39295,12.711748,43.251399,,,2.7,Arabia Major,Castorius (Roman),-
276,2,Asia,Arabia Major,Arabia Major,7a,7a,7,58,20,Berenice,7 Berenice,,,,,,,,,,,,,FALSE,785986,,,,Berenice/Berenike,,,https://pleiades.stoa.org/places/785986,23.9106253,35.47481885,,,2.7,Arabia Major,Castorius (Roman),-
277,2,Asia,Arabia Major,Arabia Major,7a,7a,7,58,20,Ptolomais,7 Ptolomais,,,,,,,,,,,,0,FALSE,39409,,,,Ptolemais Theron,,,https://pleiades.stoa.org/places/39409,18.5826004,37.8854432,,,2.7,Arabia Major,Castorius (Roman),-
278,2,Asia,Arabia Major,Arabia Major,7a,7a,7,58,20,Bernitiae,7 Bernitiae,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.7,Arabia Major,Castorius (Roman),-
279,2,Asia,Arabia Major,Arabia Major,7a,7a,7,58,20,Miosormos,7 Miosormos,,,,,,,,,,,,0,FALSE,786069,,,,Myos Hormos?,,,https://pleiades.stoa.org/places/786069,26.156611,34.24401,,,2.7,Arabia Major,Castorius (Roman),-
280,2,Asia,Arabia Major,Arabia Major,7a,7a,7,58,20,Samotracis,7 Samotracis,,,,,,,,,,,,0,FALSE,,,,,0,,,0,0,0,,,2.7,Arabia Major,Castorius (Roman),-
281,2,Asia,Arabia Major,Arabia Major,7a,7a,7,58,20,Arsinoe,7 Arsinoe,,,,,,,,,,,,0,FALSE,39295,,,,Arsinoe,,,https://pleiades.stoa.org/places/39295,12.711748,43.251399,,,2.7,Arabia Major,Castorius (Roman),-
282,2,Asia,Arabia Major,Arabia Major,7a,7a,7,58,20,Satanna,7 Satanna,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.7,Arabia Major,Castorius (Roman),-
283,2,Asia,Arabia Major,Arabia Major,7a,7a,7,58,20,Olelum,7 Olelum,,,,,,,,,,,,0,FALSE,39279,,,,,,,,,,,,2.7,Arabia Major,Castorius (Roman),-
284,2,Asia,Arabia Major,Arabia Major,7a,7a,7,58,20,Parana,7 Parana,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.7,Arabia Major,Castorius (Roman),-
285,2,Asia,Arabia Major,Arabia Major,7a,7a,7,58,20,Minea,7 Minea,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.7,Arabia Major,Castorius (Roman),-
286,2,Asia,Arabia Major,Arabia Major,7a,7a,7,59,20,Petria,7 Petria,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.7,Arabia Major,Castorius (Roman),-
287,2,Asia,Arabia Major,Arabia Major,7a,7a,7,59,20,Sabea,7 Sabea,,,,,,,,,,,,0,FALSE,39417,,,,Saba,,,https://pleiades.stoa.org/places/39417,12.5,42.5,,,2.7,Arabia Major,Castorius (Roman),-
288,2,Asia,Arabia Major,Arabia Major,7a,7a,7,59,20,Cletabis,7 Cletabis,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.7,Arabia Major,Castorius (Roman),-
289,2,Asia,Arabia Major,Arabia Major,7a,7a,7,59,20,Aflaron,7 Aflaron,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.7,Arabia Major,Castorius (Roman),-
290,2,Asia,Arabia Major,Arabia Major,7a,7a,7,59,20,Aquadosa,7 Aquadosa,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.7,Arabia Major,Castorius (Roman),-
291,2,Asia,Arabia Major,Arabia Major,7b,7b,7,59,20,Cenon idrima,7 Cenon idrima,573,Cenonnydroma,Cenonnẏꝺroma. xxıı.,R. Talbert: * 8C4 ,409,II7 Cenon idrima,Cenon idrima,"<a href=""sources.html?pars=2&amp;typ=rc#c7""",2,c7,7,2833,TRUE,786076, 8C4,Cenonnydroma,Cenonnydroma,Novum Hydreuma,https://tp-online.ku.de/trefferanzeige_en.php?id=2833,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace409.html,https://pleiades.stoa.org/places/786076,24.1842341,35.2347791,0.422453416,-0.028526273,2.7,Arabia Major,Castorius (Roman),-
292,2,Asia,Arabia Major,Arabia Major,7b,7b,7,59,20,Gabaum,7 Gabaum,489,Cabau,Cabau. xxııı.,R. Talbert: Cabav 8C4 ,408,II7 Gabaum,Gabaum,"<a href=""sources.html?pars=2&amp;typ=rc#c7""",2,c7,7,2832,TRUE,786003, 8C4,Cabau,Cabav,Cabalsi,https://tp-online.ku.de/trefferanzeige_en.php?id=2832,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace408.html,https://pleiades.stoa.org/places/786003,24.373556,35.054235,0.419873899,-0.02851936,2.7,Arabia Major,Castorius (Roman),-
293,2,Asia,Arabia Major,Arabia Major,7b,7b,7,59,20,Appollonos,7 Appollonos,,,,,407,,,,,,,2831,TRUE,785976, 8C4,Apollonos,Apollonos,Apollonos,https://tp-online.ku.de/trefferanzeige_en.php?id=2831,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace407.html,https://pleiades.stoa.org/places/785976,24.498288,34.748068,0.417257069,-0.028593056,2.7,Arabia Major,Castorius (Roman),-
294,2,Asia,Arabia Major,Arabia Major,7b,7b,7,59,20,Phalacorum,7 Phalacorum,1478,Philacon,Phılacon. xxıııı,R. Talbert: * 8C3 ,406,II7 Phalacorum,Phalacorum,"<a href=""sources.html?pars=2&amp;typ=rc#c7""",2,c7,7,2830,TRUE,786024, 8C3,Philacon,Philacon,Falacro,https://tp-online.ku.de/trefferanzeige_en.php?id=2830,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace406.html,https://pleiades.stoa.org/places/786024,24.679431,34.445753,0.414465403,-0.028683211,2.7,Arabia Major,Castorius (Roman),-
295,2,Asia,Arabia Major,Arabia Major,7b,7b,7,59,20,Xeron,7 Xeron,2047,Xeron,Xeron. xxıııı.,R. Talbert: * 8C3 ,405,II7 Xeron,Xeron,"<a href=""sources.html?pars=2&amp;typ=rc#c7""",2,c7,7,2829,TRUE,785977, 8C3,Xeron,Xeron,Aristonis,https://tp-online.ku.de/trefferanzeige_en.php?id=2829,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace405.html,https://pleiades.stoa.org/places/785977,24.9276215,34.23068699,0.41220727,-0.028642431,2.7,Arabia Major,Castorius (Roman),-
296,2,Asia,Arabia Major,Arabia Major,7b,7b,7,59,20,Dios,7 Dios,750,Dios,Dıos. xxıııı.,R. Talbert: * 8C3 ,404,II7 Dios,Dios,"<a href=""sources.html?pars=2&amp;typ=rc#c7""",2,c7,7,2828,TRUE,786042, 8C3,Dios,Dios,Iovis,https://tp-online.ku.de/trefferanzeige_en.php?id=2828,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace404.html,https://pleiades.stoa.org/places/786042,25.151713,34.056443,0.410092564,-0.028535699,2.7,Arabia Major,Castorius (Roman),-
297,2,Asia,Arabia Major,Arabia Major,7b,7b,7,59,20,Comvasim,7 Comvasim,669,Conpasin,Conpaſın. xxıı.,R. Talbert: Conpasari 8C3 ,403,II7 Comvasim,Comvasim,"<a href=""sources.html?pars=2&amp;typ=rc#c7""",2,c7,7,2827,TRUE,786005, 8C3,Conpasari,Conpasari,Compasi,https://tp-online.ku.de/trefferanzeige_en.php?id=2827,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace403.html,https://pleiades.stoa.org/places/786005,25.328374,33.837067,0.408926481,-0.02823595,2.7,Arabia Major,Castorius (Roman),-
298,2,Asia,Arabia Major,Arabia Major,7b,7b,7,59,20,Afroditis,7 Afroditis,145,Affrodites,Affrodıтeſ. xx.,R. Talbert: * 8C3 ,401,II7 Afroditis,Afroditis,"<a href=""sources.html?pars=2&amp;typ=rc#c7""",2,c7,7,2825,TRUE,785971, 8C3,Affrodites,Affrodites,Aphrodites (Oros),https://tp-online.ku.de/trefferanzeige_en.php?id=2825,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace401.html,https://pleiades.stoa.org/places/785971,25.60580275,33.62406696,0.406508246,-0.027813689,2.7,Arabia Major,Castorius (Roman),-
299,2,Asia,Arabia Major,Arabia Major,7b,7b,7,59,20,Didimus,7 Didimus,771,Dydymos,Dyꝺymoſ. xx.,R. Talbert: * 8C3 ,402,II7 Didimus,Didimus,"<a href=""sources.html?pars=2&amp;typ=rc#c7""",2,c7,7,2826,TRUE,786015, 8C3,Dydymos,Dydymos,Didymoi,https://tp-online.ku.de/trefferanzeige_en.php?id=2826,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace402.html,https://pleiades.stoa.org/places/786015,25.75433305,33.39477916,0.408056916,-0.027983411,2.7,Arabia Major,Castorius (Roman),-
300,2,Asia,Arabia Major,Arabia Major,7b,7b,7,59,20,Phinice,7 Phinice,1477,Phenice,Phenıce. xxıııı.,R. Talbert: * 8C2 ,400,II7 Phinice,Phinice,"<a href=""sources.html?pars=2&amp;typ=rc#c7""",2,c7,7,2824,TRUE,786091, 8C2,Phenice,Phenice,Phoinikon,https://tp-online.ku.de/trefferanzeige_en.php?id=2824,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace400.html,https://pleiades.stoa.org/places/786091,25.75,33.25,0.404063785,-0.027685666,2.7,Arabia Major,Castorius (Roman),-
301,2,Asia,Hyrcania,Hyrcania,8a,8a,8,61,20,Cipropolis,8 Cipropolis,729,[Cyropolis],[ ],R. Talbert: --- 11A1 ,2471,II8 Cipropolis,Cipropolis,"<a href=""sources.html?pars=2&amp;typ=rc#c8""",2,c8,8,1594,TRUE,884889,1A1,[Cyropolis] (Miller),"(symbol, no name, no. 72)",Kyropolis,https://tp-online.ku.de/trefferanzeige_en.php?id=1594,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2471.html,https://pleiades.stoa.org/places/884889,0,0,0.550847698,-0.009705606,2.8,Hyrcania,Castorius (Roman),-
302,2,Asia,Hyrcania,Hyrcania,8a,8a,8,61,20,Axara,8 Axara,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.8,Hyrcania,Castorius (Roman),-
303,2,Asia,Hyrcania,Hyrcania,8a,8a,8,61,20,Portum,8 Portum,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.8,Hyrcania,Castorius (Roman),-
304,2,Asia,Hyrcania,Hyrcania,8a,8a,8,61,20,Castillum,8 Castillum,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.8,Hyrcania,Castorius (Roman),-
305,2,Asia,Hyrcania,Hyrcania,8a,8a,8,61,20,Tarsambaram,8 Tarsambaram,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.8,Hyrcania,Castorius (Roman),-
306,2,Asia,Hyrcania,Hyrcania,8a,8a,8,61,20,Aquilleam,8 Aquilleam,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.8,Hyrcania,Castorius (Roman),-
307,2,Asia,Hyrcania,Hyrcania,8a,8a,8,61,20,Belalus,8 Belalus,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.8,Hyrcania,Castorius (Roman),-
308,2,Asia,Hyrcania,Hyrcania,8a,8a,8,61,20,Gareas,8 Gareas,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.8,Hyrcania,Castorius (Roman),-
309,2,Asia,Hyrcania,Hyrcania,8a,8a,8,61,20,Camia,8 Camia,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.8,Hyrcania,Castorius (Roman),-
310,2,Asia,Hyrcania,Hyrcania,8a,8a,8,61,20,Sazala,8 Sazala,,,,,2470,,,,,,,1593,TRUE,/, 10A5,Lezela,[..]ezela,,https://tp-online.ku.de/trefferanzeige_en.php?id=1593,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2470.html,,0,0,0.5473025,-0.007105749,2.8,Hyrcania,Castorius (Roman),-
311,2,Asia,Hyrcania,Hyrcania,8a,8a,8,61,20,Armastica,8 Armastica,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.8,Hyrcania,Castorius (Roman),-
312,2,Asia,Hyrcania,Hyrcania,8a,8a,8,61,20,Teladalfir,8 Teladalfir,,,,,2472,,,,,,,1595,TRUE,/, 10A5,Philado,Philado,,https://tp-online.ku.de/trefferanzeige_en.php?id=1595,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2472.html,,0,0,0.548855954,-0.009221489,2.8,Hyrcania,Castorius (Roman),-
313,2,Asia,Hyrcania,Hyrcania,8a,8a,8,61,20,Telada,8 Telada,1856,Teleda,Teleꝺa.,R. Talbert: * 10A5 ,2469,II8 Telada,Telada,"<a href=""sources.html?pars=2&amp;typ=rc#c8""",2,c8,8,1591,TRUE,,,,,,,,,,,0.545327911,-0.007330236,2.8,Hyrcania,Castorius (Roman),-
314,2,Asia,Hyrcania,Hyrcania,8a,8a,8,61,20,Ucubri,8 Ucubri,1981,Ugubre,Vgubre. xL.,R. Talbert: Vgvbre 10A5 ,2468,II8 Ucubri,Ucubri,"<a href=""sources.html?pars=2&amp;typ=rc#c8""",2,c8,8,1590,TRUE,220961472, 10A5,Ugubre,Vgvbre,Ugubre,https://tp-online.ku.de/trefferanzeige_en.php?id=1590,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2468.html,https://pleiades.stoa.org/places/220961472,0,0,0.543251698,-0.007950646,2.8,Hyrcania,Castorius (Roman),-
315,2,Asia,Hyrcania,Hyrcania,8a,8a,8,62,20,Laia,8 Laia,1101,Lalla,Lalla. x,R. Talbert: * 10A5 ,2467,II8 Laia,Laia,"<a href=""sources.html?pars=2&amp;typ=rc#c8""",2,c8,8,1589,TRUE,/, 10A5,Lalla,Lalla,,https://tp-online.ku.de/trefferanzeige_en.php?id=1589,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2467.html,,0,0,0.541381637,-0.008383195,2.8,Hyrcania,Castorius (Roman),-
316,2,Asia,Hyrcania,Hyrcania,8a,8a,8,62,20,Liponissa,8 Liponissa,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.8,Hyrcania,Castorius (Roman),-
317,2,Asia,Hyrcania,Hyrcania,8a,8a,8,62,20,Tilida,8 Tilida,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.8,Hyrcania,Castorius (Roman),-
318,2,Asia,Hyrcania,Hyrcania,8a,8a,8,62,20,Sanora,8 Sanora,1667,Sanora,Sanora.,R. Talbert: * 10A5 ,2466,II8 Sanora,Sanora,"<a href=""sources.html?pars=2&amp;typ=rc#c8""",2,c8,8,1588,TRUE,884915, 10A5,Sanora,Sanora,Sanora,https://tp-online.ku.de/trefferanzeige_en.php?id=1588,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2466.html,https://pleiades.stoa.org/places/884915,0,0,0.539864835,-0.008917482,2.8,Hyrcania,Castorius (Roman),-
319,2,Asia,Hyrcania,Hyrcania,8a,8a,8,62,20,Tegamia,8 Tegamia,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.8,Hyrcania,Castorius (Roman),-
320,2,Asia,Hyrcania,Hyrcania,8a,8a,8,62,20,Gravete,8 Gravete,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.8,Hyrcania,Castorius (Roman),-
321,2,Asia,Media Major,Media Major,9a,9a,9,63,21,Ragaunia,9 Ragaunia,,,,,2493,,,,,,,1616,TRUE,874375, 10A4,Raugonia,Ravgonia,Bagauna/Sagouana,https://tp-online.ku.de/trefferanzeige_en.php?id=1616,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2493.html,https://pleiades.stoa.org/places/874375,39.603879,43.519713,0.527631742,-0.009029747,2.9,Media Major,Castorius (Roman),-
322,2,Asia,Media Major,Media Major,9a,9a,9,63,21,Didima,9 Didima,,,,,,,,,,,,,FALSE,874453,,,,Didima,,,https://pleiades.stoa.org/places/874453,39.649111,43.325651,,,2.9,Media Major,Castorius (Roman),-
323,2,Asia,Media Major,Media Major,9a,9a,9,63,21,Indua,9 Indua,,,,,,,,,,,,0,FALSE,874520,,,,Indua,,,https://pleiades.stoa.org/places/874520,39.610277,42.9925,,,2.9,Media Major,Castorius (Roman),-
324,2,Asia,Media Major,Media Major,9a,9a,9,63,21,Acachia,9 Acachia,,,,,0,,,,,,,,TRUE,#N/A,,,,,,,,,,,,2.9,Media Major,Castorius (Roman),-
325,2,Asia,Media Major,Media Major,9a,9a,9,63,21,Isumbo,9 Isumbo,,,,,2501,,,,,,,1625,TRUE,874529, 10B5,Isumbo,Isvmbo,Isumbo/Patansana/Zombis,https://tp-online.ku.de/trefferanzeige_en.php?id=1625,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2501.html,https://pleiades.stoa.org/places/874529,39.2333101,42.8626169,0.539060088,-0.014566549,2.9,Media Major,Castorius (Roman),-
326,2,Asia,Media Major,Media Major,9a,9a,9,63,21,Dognavana,9 Dognavana,736,Dagnevana,Dagneuana. xv.,R. Talbert: * 10B4 ,2603,II9 Dognavana,Dognavana,"<a href=""sources.html?pars=2&amp;typ=rc#c9""",2,c9,9,1735,TRUE,874345, 10B4,Dagneuana,Dagnevana,Arest/Dagnevana,https://tp-online.ku.de/trefferanzeige_en.php?id=1735,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2603.html,https://pleiades.stoa.org/places/874345,38.925344,43.655172,0.535191584,-0.014300831,2.9,Media Major,Castorius (Roman),-
327,2,Asia,Media Major,Media Major,9a,9a,9,63,21,Maia,9 Maia,,,,,2602,,,,,,,1734,TRUE,874606, 10B4,Molchia,Molchia,Molchia,https://tp-online.ku.de/trefferanzeige_en.php?id=1734,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2602.html,https://pleiades.stoa.org/places/874606,38.753949,43.241023,0.533592387,-0.013503904,2.9,Media Major,Castorius (Roman),-
328,2,Asia,Media Major,Media Major,9a,9a,9,63,21,Bastavena,9 Bastavena,2006,Va(st)auna,Vaﬅauna. xxxıı.,R. Talbert: Vastavna 10B4 ,2601,II9 Bastavena,Bastavena,"<a href=""sources.html?pars=2&amp;typ=rc#c9""",2,c9,9,1733,TRUE,874785, 10B4,Vastauna,Vastavna,Vastauna,https://tp-online.ku.de/trefferanzeige_en.php?id=1733,https://www.cambridge.org/us/talbert/talbertdatabase/TPPlace2601.html,https://pleiades.stoa.org/places/874785,38.305755,43.103175,0.532137501,-0.012717237,2.9,Media Major,Castorius (Roman),-
329,2,Asia,Media Major,Media Major,9a,9a,9,63,21,Condaca,9 Condaca,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.9,Media Major,Castorius (Roman),-
330,2,Asia,Media Major,Media Major,9a,9a,9,63,21,Data,9 Data,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.9,Media Major,Castorius (Roman),-
331,2,Asia,Media Major,Media Major,9a,9a,9,63,21,Scrabon,9 Scrabon,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.9,Media Major,Castorius (Roman),-
332,2,Asia,Media Major,Media Major,9a,9a,9,63,21,Incate,9 Incate,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.9,Media Major,Castorius (Roman),-
333,2,Asia,Media Major,Media Major,9a,9a,9,64,21,Amoequum,9 Amoequum,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.9,Media Major,Castorius (Roman),-
334,2,Asia,Media Major,Media Major,9a,9a,9,64,21,Barca,9 Barca,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.9,Media Major,Castorius (Roman),-
335,2,Asia,Media Major,Media Major,9a,9a,9,64,21,Cazaci,9 Cazaci,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.9,Media Major,Castorius (Roman),-
336,2,Asia,Media Major,Media Major,9a,9a,9,64,21,Aradita,9 Aradita,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.9,Media Major,Castorius (Roman),-
337,2,Asia,Media Major,Media Major,9a,9a,9,64,21,Desertam,9 Desertam,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.9,Media Major,Castorius (Roman),-
338,2,Asia,Media Major,Media Major,9a,9a,9,64,21,Abacagna,9 Abacagna,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.9,Media Major,Castorius (Roman),-
339,2,Asia,Media Major,Media Major,9a,9a,9,64,21,Adaba,9 Adaba,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.9,Media Major,Castorius (Roman),-
340,2,Asia,Media Major,Media Major,9a,9a,9,64,21,Andiritum ,9 Andiritum ,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.9,Media Major,Castorius (Roman),-
341,2,Asia,Media Major,Media Major,9a,9a,9,64,21,Cerium,9 Cerium,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.9,Media Major,Castorius (Roman),-
342,2,Asia,Media Major,Media Major,9a,9a,9,64,21,Babra,9 Babra,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.9,Media Major,Castorius (Roman),-
343,2,Asia,Media Minor,Media Minor,10a,10a,10,64,21,Strippa,10 Strippa,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.10,Media Minor,Castorius (Roman),-
344,2,Asia,Media Minor,Media Minor,10a,10a,10,64,21,Aravigulo,10 Aravigulo,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.10,Media Minor,Castorius (Roman),-
345,2,Asia,Media Minor,Media Minor,10a,10a,10,64,21,Ladaca,10 Ladaca,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.10,Media Minor,Castorius (Roman),-
346,2,Asia,Media Minor,Media Minor,10a,10a,10,64,21,Triraxus,10 Triraxus,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.10,Media Minor,Castorius (Roman),-
347,2,Asia,Media Minor,Media Minor,10a,10a,10,64,21,Labiana,10 Labiana,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.10,Media Minor,Castorius (Roman),-
348,2,Asia,Media Minor,Media Minor,10a,10a,10,65,21,Aracotus,10 Aracotus,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.10,Media Minor,Castorius (Roman),-
349,2,Asia,Media Minor,Media Minor,10a,10a,10,65,21,Prostas,10 Prostas,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.10,Media Minor,Castorius (Roman),-
350,2,Asia,Media Minor,Media Minor,10a,10a,10,65,21,Carcoe,10 Carcoe,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.10,Media Minor,Castorius (Roman),-
351,2,Asia,Media Minor,Media Minor,10a,10a,10,65,21,Nastana,10 Nastana,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.10,Media Minor,Castorius (Roman),-
352,2,Asia,Media Minor,Media Minor,10a,10a,10,65,21,Andratana,10 Andratana,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.10,Media Minor,Castorius (Roman),-
353,2,Asia,Media Minor,Media Minor,10a,10a,10,65,21,Carbestrio,10 Carbestrio,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.10,Media Minor,Castorius (Roman),-
354,2,Asia,Media Minor,Media Minor,10a,10a,10,65,21,Sitarane,10 Sitarane,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.10,Media Minor,Castorius (Roman),-
355,2,Asia,Media Minor,Media Minor,10a,10a,10,65,21,Ospa,10 Ospa,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.10,Media Minor,Castorius (Roman),-
