stage,pleiades_id,pleiades_toponym,TP_gridsquare,Talbert_id,ku_id,ku_name_lookup,talbert_name_lookup,TP_symbol,TP_notes,TP_coastal,RC_peri_count,pp_page,schnetz_page,RC_peri_ref,RC_peri,RC itin,gg_ref,GG_peri,GG_itin,representative_latitude,representative_longitude,ku_x,ku_y
1,442629,Larinum,5B2,1274,299,Larinum,Larinv̄,,,Larinv̄,31,327,84,327.14,Larinum,Larium,71.3,Lacrinium,Larium,41.8064879,14.9175768,0.239388869,-0.013318959
1,442815,Teanum Apulum,5B2,1275,300,Teneapulo,Teneapvlo,,,Teneapvlo,32,328,84,328.1,Teanopilon,Teanopolon,71.4,Teanopolum,Teanum Polonium,41.739367,15.261276,0.241827388,-0.013112677
1,442578,Ergitium,5B3,1276,301,Ergitium,Ergitiv̄,,,Ergitiv̄,33,328,84,328.2,Egritium,Ergitium,71.5,Ergicum,Ergitium,41.714154,15.49961,0.243184763,-0.013277079
1,442814,Tatinie,,,0,,,,,,34,328,84,328.3,Tacinie,Tatinie,71.6,Ocinia,Tatinia,41.657661,15.5863,,
1,442729,Ponte Longo/Pordona,,,,,,,,,35,328,84,328.4,Pordona,Pordona,71.7,Pordona,Parthona,41.629957,15.637857,,
1,442483,Atre,,,0,,,,,,36,328,84,328.5,Atre,Atre,71.8,Atre,Attie,41.575477,15.743888,,
1,442797,Sipous/Sipontum,5B3,1277,302,Siponto,Siponto,yes,,Siponto,37,328,84,328.6,Sipontos,Sepontos,71.9,Sipontus,Sipontus,41.6076492,15.8928543,0.244861636,-0.013141049
1,442489,Anxanum,5B3,1278,303,Anxano,Anxano,,,Anxano,38,328,84,328.7,Anxanum,Anxanum,71.1,Anxanum,Anxanum,41.513735,15.891172,0.247266128,-0.013412625
1,442759,Sal(a)pia(i)/Salinae,5B3,1279,304,Salinis,Salinis,,,Salinis,39,328,84,328.8,Salinis,Salinix,71.11,Salinis quae et Salpia,Salinis quae et Salapis,41.403381,15.9933,0.249638144,-0.013005805
1,442484,Aufidena/Aufinum,5B3,1280,306,Aufinum,Avfinvm,,,Avfinvm,40,328,84,328.9,Ausidum,Aufidum,71.12,Aufidiena pro qua nunc Canne,Aufidiena pro qua nunc Canne,41.33639,16.194104,0.251435643,-0.012852442
