Id,Toponym,Number,xcoord,ycoord
"0",Gigti,"1959",0.271595536865693,-0.0262415582026827
"0",Cyme,"1329",0.421446189599563,-0.0196859615866403
"0","(unnamed / illegible, no. 64)","2915",0.45653948594924,-0.0269507941198456
"0",Veri,"1936",0.287840706255208,-0.0281434174853063
"0",Aelea,"906",0.326363491378632,-0.0115416784405182
"0", ,"0",0.419713474443534,-0.0231863082173185
"0",Enna,"546",0.278519836640997,-0.0216073708114026
"0",Ad tavm (Ad taum),"2968",0.0040120553226425,-0.00349811560253308
"0",Lacene,"1838",0.264365648279214,-0.0259045851404661
"0",Blauia (Blavia),"3139",0.00606076819509936,-0.0132730646959397
"0",Casra,"734",0.229641886629439,-0.00882788742011722
"0",Elusa,"2885",0.436756781485593,-0.0246432424427503
"0",Butrio,"151",0.171737653027276,-0.0147790058296046
"0",Viaca,"3466",0.112876016638723,-0.00656076530286379
"0",Astibo,"902",0.324304658707067,-0.0117647979134281
"0",Luteci,"3067",0.0343731836065807,-0.00923036109535576
"0",Taspa,"1458",0.45332837723206,-0.0174239797819095
"0",Noreia,"619",0.172771483062766,-0.00518856909861856
"0",Parna (Parma),"72",0.137686033884606,-0.0126062289636581
"0",Agion,"989",0.320085661800848,-0.0193910825218812
"0",Pylios,"998",0.320126704043193,-0.0221773242807312
"0",Hasta,"3320",0.0980264486706285,-0.0187175367733501
"0",Elegio,"561",0.156541482186468,-0.004889901692287
"0",Dicat,"1804",0.534204560632028,-0.0230189646417189
"0",Lechi,"993",0.323206258344084,-0.0195733147686899
"0",Obba,"927",0.173962445093293,-0.0262183280709601
"0",Crixia,"3311",0.0941310490208365,-0.0178354045298102
"0",Variae,"336",0.222417298436005,-0.0152383225441867
"0",Tetra,"1415",0.456051357728792,-0.0146646026942941
"0",Temsa,"530",0.283794587705897,-0.0191642068421286
"0",Cofna,"2871",0.441112724587893,-0.0242746832815839
"0",Colla,"1116",0.374904955941792,-0.0168082639356397
"0",Puteo,"1475",0.241983663081871,-0.0282338921951222
"0", Pisauis (Pisavis),"3287",0.0545197781359043,-0.0187963688590647
"0",Risca,"436",0.200846141660252,-0.02685443512417
"0",Ruspe,"1775",0.251714584322187,-0.0251787205172456
"0",Alba,"317",0.22599344194182,-0.014482541856294
"0",Ciaca,"1657",0.504298453499914,-0.0168321773991663
"0",Haris,"1647",0.494101127800464,-0.0112147513771585
"0",Anar,"1854",0.552057341854452,-0.0272290254475666
"0",Ebirno,"3102",0.0362415542440772,-0.0132506696209721
"0",[Narnia] (Miller),"210",0.205355486557596,-0.01695589306537
"0",Aobia,"272",0.188132048780278,-0.0250359448894882
"0",Syene,"2815",0.392290981602283,-0.0280340868009401
"0",Large,"3396",0.0790634101336705,-0.00787961203726094
"0",Saldis,"727",0.249536879659718,-0.00685212447347157
"0",Hispa,"1655",0.502917832996765,-0.015056885867542
"0",Attas,"1726",0.505590206805889,-0.0269911059705113
"0",Tinna,"197",0.207014961481359,-0.0126179354089068
"0",Aquis [Convenarum] (Miller),"3215",0.00399215766454269,-0.0162170195837467
"0",Dona,"1390",0.448825581457661,-0.0135731381812667
"0",Gerra,"2856",0.42569262442295,-0.0217790379195656
"0",Ricina,"191",0.194442048068895,-0.0158051947381344
"0",Aeqvo (Aequo),"744",0.244786773964273,-0.00800671577762146
"0",noceios (Noceios),"323",0.229394432624827,-0.0147047725895019
"0",Lucos,"387",0.272147966508003,-0.0150035533100827
"0",Batiana,"3241",0.0566456200820678,-0.0168777602360758
"0",[Badera] (Miller),"3208",0.0145754153184201,-0.0171100185962076
"0",Niciv (Niciu),"2809",0.412525260743266,-0.0256014504237881
"0",Atribi,"2804",0.417994766826239,-0.0255479736330613
"0",Virga,"2230",0.314605676445296,-0.0255411622267224
"0",Bedaio,"16",0.140241048891032,-0.00624391329567211
"0",Nura,"2758",0.109755861815386,-0.0206601173939793
"0",Tegeas,"978",0.325347967052827,-0.0209602478190042
"0",Haste,"1797",0.527327966262387,-0.0217240490207277
"0",Carsio,"1034",0.357891691059254,-0.00880568413200203
"0",Mideo,"1254",0.409642837334192,-0.015012334369489
"0",Segvra (Segura),"3133",0.0244583067158901,-0.0125753436774932
"0",Lince,"1501",0.436758371959247,-0.0193360454473794
"0",Norue,"380",0.270711887789339,-0.0134149066300581
"0",Crusa,"963",0.322041236391535,-0.0170433499110429
"0",Atalia,"1512",0.45189151985796,-0.0203854909652007
"0",Stai,"1873",0.580192284539544,-0.01064079370297
"0","(unnamed / illegible, no. 36)","773",0.22384678363513,-0.00982663875263652
"0",Soloe,"1457",0.466839955627667,-0.0178875206704526
"0",Varis,"868",0.279126610421839,-0.00815128369144784
"0",Sabate,"259",0.188582744783529,-0.0188491747521631
"0",Iouia,"651",0.207910809971468,-0.00616101233014209
"0",Cardum,"2763",0.390390398048343,-0.0254407187009833
"0",Cadara,"2911",0.448027889644375,-0.0261073382159731
"0",Plateas,"967",0.328170760634602,-0.017897403380462
"0",Heldo,"2926",0.463229363659074,-0.0248085115419559
"0",Blera,"257",0.177250324417399,-0.0201613089380256
"0",Pache,"964",0.323298272744562,-0.0171761444965048
"0",Negla,"2898",0.431684749425273,-0.0267089939520054
"0",Degetia,"3103",0.0362594958708496,-0.014112921353215
"0",Cani,"1556",0.48827139951162,-0.0241838367278906
"0",Nisibi,"1809",0.540479306911818,-0.0158901815405542
"0",Naladus,"2274",0.320207072478723,-0.025091917709844
"0",Phara,"2878",0.423775767316906,-0.0265424246666482
"0",Pella,"1462",0.435102535347934,-0.0170862127714318
"0",Arpos,"367",0.246795427030201,-0.0143441682128182
"0",condate,"3144",0.0110052972588297,-0.0133479592656681
"0",Alaina,"1801",0.530696960337526,-0.0222472536280443
"0",Besino,"3199",0.00519993960967729,-0.0155733226067974
"0",Roribis,"2977",0.00384757050041277,-0.00871038991632196
"0",[Faro di Alessandria] (Levi),"2790",0.411287931833035,-0.0231606093108625
"0",Bibae,"490",0.219311375765653,-0.0257157533360308
"0",Rosos,"1492",0.474927061439216,-0.0206121063057913
"0",Picus,"3163",0.181923004243129,-0.0239349585075508
"0",Coloe,"1363",0.446692615139022,-0.0106342719618828
"0",Noreia,"620",0.17425563244646,-0.00533858636646574
"0",[Via Laurentina],"3491",0.219332318701876,-0.0197367440851159
"0",Siagu,"1570",0.230888050116687,-0.0245934784863953
"0",Pestum (Paestum),"524",0.273999063430721,-0.0203615607253208
"0",Neapoli,"1603",0.23411024300644,-0.0250683015573413
"0",Tycae,"1198",0.429692345602635,-0.00938401931415355
"0",Regio,"1179",0.385990940883422,-0.0135212218960614
"0",Ricina,"80",0.10338451229082,-0.0181349616679743
"0",Veios,"244",0.204709667732327,-0.0182848357677558
"0",Haila,"2879",0.425870511014543,-0.0258521896581941
"0",Bereo,"1036",0.359651271700304,-0.00854041199698693
"0",Saloca,"631",0.17620503329581,-0.00685989450129311
"0",Bittio,"704",0.257023139731257,-0.00521841963641147
"0",Lappa,"1156",0.377721098447104,-0.0193769677469726
"0",Rubos,"376",0.263650229528476,-0.0127006928390547
"0",Melfel,"356",0.236908814022168,-0.0193782820253744
"0",Praesidio,"2894",0.426587667071146,-0.0261613969035928
"0",Aserie,"689",0.210306479308861,-0.00850333692016162
"0",Caruone,"2995",0.033512424448896,-0.00420997209622247
"0",Harae,"1718",0.492598493095857,-0.0270265041277309
"0",Halisso,"955",0.309464111897973,-0.0202987143170197
"0",Certis,"725",0.239971739233456,-0.00699995637284771
"0",Baloie,"737",0.234814693109131,-0.00900145861853155
"0",Turis,"454",0.285448324887265,-0.0154307099303786
"0",Chosol,"2296",0.322740667566988,-0.0251334993791099
"0",Rapis,"6",0.118451113306768,-0.00649740803980839
"0",Gabris,"3117",0.0319103328168862,-0.0120313884814046
"0",Hostilia,"53",0.154966826732928,-0.0128417949537597
"0",Gadda,"2904",0.438951985924107,-0.0270643554271846
"0",Siluo (Silvo),"670",0.168079311004348,-0.0116690054073162
"0",Alauna,"3079",0.0127797281415034,-0.00900665873868568
"0",Nesus,"2781",0.397729514869754,-0.0255877263427331
"0",Ad turrem,"2424",0.337441376131581,-0.0257731028504956
"0",Inata,"1172",0.390765666024814,-0.0220978110535809
"0",Citari,"1546",0.465426117295593,-0.0196425160541231
"0",Hatita,"2905",0.440141510859716,-0.027233733933768
"0",Anteis,"3290",0.0647436033367246,-0.0195281757438113
"0",Issos,"1487",0.472549791606271,-0.0195034701022215
"0",Lauri[.],"2991",0.0254052185451449,-0.00404850477006396
"0",Siua (Siva),"1393",0.453151999272118,-0.0139919624712483
"0",Aratu,"2780",0.395722556293211,-0.0256217059143598
"0",Aholla,"1764",0.249910362142556,-0.0249725118985654
"0",Auido,"1311",0.39388112189396,-0.0197791501873661
"0",Pylae,"1301",0.396539733914796,-0.0159485911016763
"0",Anami,"2822",0.405074321654897,-0.0260150658769701
"0",Elatia,"1326",0.413852282450439,-0.0198260090170458
"0",Asopos,"1004",0.333110171614001,-0.0231888727629035
"0",Spelci,"2813",0.390649887275017,-0.0281292242985082
"0",Curio,"1553",0.460407038962551,-0.0215844205446914
"0",Derta,"1859",0.519435487419118,-0.0276184388060612
"0",Petelia,"455",0.28754889375388,-0.0151950837277168
"0",Danas,"1822",0.545524558503238,-0.0203502682433225
"0",Ce[..]nda (Cerunda Miller),"3219",0.00573681957543941,-0.0183189408906247
"0",Boxvm (Boxum),"3121",0.044551234509652,-0.0132459809474465
"0",Feresne,"3014",0.0451107843236192,-0.00624896074606204
"0",Dium,"1123",0.330696303169759,-0.0154104856898328
"0",Vacreus,"2802",0.417212749016563,-0.0251707018249145
"0",Novesio,"3009",0.0524923846623314,-0.00444610348720964
"0",Sarto,"1088",0.328725315685588,-0.0110020879907049
"0",Arni,"1909",0.576367857563561,-0.0194663471445151
"0",Crucio,"660",0.183225252617219,-0.00978712325490665
"0",Aggar,"1035",0.226404884618443,-0.0268384579174111
"0",Vetona,"236",0.167997238607145,-0.0168956669429491
"0",Adlali,"710",0.0955954106021928,-0.0261958516750523
"0",Caena,"1408",0.443734330616631,-0.0142618079579416
"0",Petra,"1430",0.438231044113024,-0.0151013061998362
"0",Curia,"52",0.109446323138942,-0.00948152257510326
"0",Callis,"2645",0.372609433768492,-0.0233516149064024
"0",Cremona,"59",0.133023558615431,-0.0104282646313591
"0",Evrone (Eurone),"143",0.15939006593664,-0.0127582690674757
"0",Vennum,"45",0.142030384167845,-0.00832564122206447
"0",Loteua (Luteva),"3195",0.0329729431356958,-0.0185342056965633
"0",Varvm (Varum),"3302",0.0770361028761183,-0.0194445479511649
"0",Clisma,"2875",0.419780432698721,-0.0265092592180557
"0",Meteglo,"3068",0.0363598872413819,-0.00949337696552263
"0",Sarnis,"44",0.141266770751142,-0.00796633901082042
"0",Aueia (Aveia),"314",0.219793345048194,-0.0138873448808189
"0",Zama,"1388",0.444212870337011,-0.0132109507894545
"0",Calcaria,"3294",0.0530443016470231,-0.0192792054787165
"0",Flenio,"2999",0.018383843910719,-0.00552245463365838
"0",Pvtea (Putea),"1915",0.28174783756626,-0.0287041126941748
"0",Boron,"84",0.108881784076755,-0.0181445887130708
"0",Cytmon,"1003",0.332077728747408,-0.0230548215632594
"0",Clunia,"22",0.106662934520742,-0.00831600542163149
"0",Girba,"2182",0.274955133787582,-0.0260365003327212
"0",Brixia,"50",0.133513288188868,-0.00855447463364085
"0",Tilurio,"749",0.250029210393479,-0.00820340275740048
"0",Deleda,"2953",0.467153911639659,-0.0267553380600405
"0",Fenchi,"2843",0.409556345160471,-0.0267562743495512
"0",Halesa,"540",0.28120830235089,-0.0211866441852424
"0",Latro,"1020",0.339013199985501,-0.00827708049802179
"0",Reila,"1516",0.464325032499864,-0.0057686873911967
"0",Auxenna,"3048",0.0428403449218418,-0.00782383898371499
"0",Cellis,"1119",0.33380964410929,-0.0144898993304808
"0",Assos,"1317",0.403448043429884,-0.0205309849701191
"0",Nible,"555",0.283358691739863,-0.0231287156005474
"0",Pirusio,"235",0.163680578344092,-0.0165164666947091
"0",Cronias,"968",0.329389502708147,-0.0182465864540388
"0",Uthica,"468",0.21795859602268,-0.0250944389473793
"0",Magia,"23",0.108826363795224,-0.00812676519102971
"0",Aeliae,"1068",0.240388023017799,-0.0264396634286722
"0",Thora,"2892",0.445813194852997,-0.0226696168456732
"0",Halia,"1767",0.523034835704473,-0.0194760718951021
"0",cyllene (Cyllene),"986",0.316335549312337,-0.0207344320620264
"0",Tonea,"1359",0.438869287893893,-0.0110616619273613
"0",Galaxia,"3262",0.00577477711161341,-0.022486845151112
"0",Asamo,"876",0.275203455489823,-0.0096818838478942
"0",Pizo,"1101",0.34168870731496,-0.0136326061991458
"0",Aspasi,"1246",0.428339873770621,-0.0133418692319159
"0",Aenos,"2914",0.452785819703303,-0.0268228725577658
"0",Celeuso,"3453",0.139926945419346,-0.00462377338614192
"0",In Alpe,"576",0.156179823608903,-0.00657478432342639
"0","(unnamed / illegible, no. 67)","1808",0.532699957563354,-0.0211822974096187
"0",Egeta,"816",0.306739258721542,-0.00800229903368071
"0",[Nesatio]/Pola,"671",0.172396043888149,-0.0119540735659384
"0",Tasdri,"2841",0.412659048922269,-0.0269619819919157
"0",Sarute,"739",0.238954487942958,-0.00859128621971955
"0",Sigus,"2731",0.0951581926516938,-0.0255168365272754
"0",Ange,"1896",0.57198773434544,-0.0168140462362678
"0",Assabe,"1855",0.553783606902901,-0.0270274565099986
"0",Serre,"1716",0.508022697093139,-0.0245671163206542
"0",Conni,"1276",0.420302309177018,-0.0159903392598581
"0",Lateas,"1209",0.404185073423677,-0.0118914444788991
"0",Vrvsa (Urusa),"11",0.131134757872078,-0.00586041321439662
"0",Via Flaminia,"3483",0.214379207013201,-0.0173503858148066
"0",Erdonias,"405",0.264027788207301,-0.0147087262871079
"0",Lactora,"3204",0.0144829566178831,-0.0160899829193538
"0",Cerva,"1336",0.181431681282334,-0.0280540329448746
"0",Egirca,"1089",0.330775273409532,-0.0112079368622621
"0",Gensis,"729",0.265042103317091,-0.00737492931285627
"0",Adana,"1442",0.472263451449646,-0.0155399467448375
"0",Caralis,"2094",0.109986374331045,-0.0215673612247073
"0",Anamo,"1125",0.333308874918749,-0.0159011535622985
"0",Citium,"591",0.175750372400248,-0.00431647063730017
"0",Robrica,"3115",0.0281429018170719,-0.0110538192186049
"0",Condate,"3069",0.0380046092310429,-0.00936225099700504
"0",Sitae,"1738",0.526838042966051,-0.0125871215171829
"0",Mubsi,"261",0.185812105609219,-0.0248801951443193
"0",Sinna,"874",0.284612355169876,-0.00820449305076376
"0",Careias,"262",0.202525913284025,-0.0193122489301008
"0",Cubin,"1634",0.237957052499163,-0.0253386463968002
"0",Rudas,"375",0.261827094640278,-0.0127134616209362
"0",Pretorio,"3158",0.0234045159842723,-0.0154512031290049
"0",Phacusi,"2854",0.421488376144286,-0.0231031859686746
"0",Erulos,"212",0.210746902417143,-0.0133700644978553
"0",Eliberre,"3200",0.00641559584201231,-0.0160930126332903
"0",Ivliaco (Iuliaco),"3027",0.0518516354475563,-0.00532963709632054
"0",Epara,"1856",0.555145753372532,-0.027380388900019
"0",Laciacis,"20",0.148974226902741,-0.00682624563508983
"0",Idimo,"850",0.299240138169457,-0.00853118283619492
"0",Cersiae,"1012",0.354475942066893,-0.0072334709219355
"0",Botrus,"2929",0.458751689207171,-0.0236188646806785
"0",Cerelis,"528",0.281222138662267,-0.0189928078027542
"0",Lacus mori,"2874",0.418835367823208,-0.0264365185162874
"0",Arcade,"1169",0.392760812967741,-0.0220291220791925
"0",[Coloniam Arcilaida] (Miller),"1251",0.43955314626726,-0.0141293057235503
"0",Sarxa,"1147",0.349237730720208,-0.0169350122166387
"0",Etanna,"3410",0.0589757241040487,-0.0120666918029051
"0",Velefi,"2744",0.138363465316569,-0.0260833206638188
"0",Vrbius (Urbius),"412",0.277381438149829,-0.0139440118650522
"0",Scarbia,"37",0.125688722805607,-0.00703255869418378
"0",Coabis,"2889",0.445111561857922,-0.0251100953536427
"0",Daseusa,"1654",0.502528628753851,-0.0147033051362717
"0",Tasciaca,"3116",0.0309965202370468,-0.0115459860117674
"0",Mova,"2752",0.155026134808338,-0.0261676313163757
"0",Seggo,"981",0.202675080602746,-0.0271773553850802
"0",Arulis,"1747",0.515962949488384,-0.0208707470870783
"0",Ausaua (Ausava),"3354",0.0597207355344702,-0.00689645722983465
"0",Sibus,"2748",0.158762171739083,-0.0258413776253013
"0",Batua,"880",0.283701061999003,-0.0090440408174204
"0",Caena,"1346",0.456991285864593,-0.0106853469340312
"0",[Cibale] (Miller),"715",0.244271634774266,-0.00670855787202262
"0",Calagum,"3076",0.0386649197875844,-0.00837179087651906
"0",Mandis,"2711",0.383688221911132,-0.0246437670624787
"0",Cabraca,"2932",0.16563887608303,-0.0232186737448846
"0",Pernaco,"3025",0.0448551780377562,-0.00692034881263399
"0",Sahal,"1754",0.523636351300541,-0.0174312776206808
"0",Pristis,"1022",0.341692806929563,-0.00861446355255051
"0", Legedia,"3107",0.0159359006695054,-0.00971701079249448
"0",Sitillia,"3123",0.0420478081478671,-0.0147003458418861
"0",Pidis,"1364",0.448623616693954,-0.0109069589959849
"0",Thitu (=Tanis),"2795",0.418779238085992,-0.0224733652451378
"0",Heracleo,"2796",0.421333203884264,-0.0223911777615367
"0",Ancus,"681",0.190606439900338,-0.0117156490789672
"0",Agris,"557",0.285300612552371,-0.0231125324504578
"0",Coriallo,"3105",0.0125445169187976,-0.0100965671536673
"0",Adansam,"2971",0.00608129529451814,-0.00534625845562408
"0",Vicus,"1763",0.519258214761418,-0.021210426760378
"0",Reginca,"3111",0.01308643580732,-0.010968398918199
"0",Cabau,"2832",0.419873898830336,-0.0285193600261865
"0",Badias,"1207",0.139130671775952,-0.0275835310053186
"0",Baba,"1760",0.53656939089449,-0.0175820086374522
"0",Tripoli,"2930",0.46007019066911,-0.0238134755294868
"0",Iciniaco,"3449",0.132448930094796,-0.00483951958497812
"0",Odiana,"3055",0.141207011620091,-0.0237652808040197
"0",Rana,"1917",0.581071500368831,-0.0246969994761327
"0",Venne,"2849",0.412824275004179,-0.0278074544390356
"0",Visalta,"2729",0.0833454788903708,-0.0253643411395095
"0",Litium,"1168",0.390915295314584,-0.0215165107761426
"0",Dertona,"3325",0.0996601872498283,-0.0172104463897396
"0",Magno,"747",0.234827119023748,-0.00999834961512456
"0",Inuca,"393",0.209083841600009,-0.0252267239879488
"0",Leusino,"865",0.274699651419382,-0.00875114683359796
"0",Literno,"511",0.248630621981044,-0.0218899045487644
"0",Halvillo,"184",0.189967911706153,-0.0177626787325638
"0",Salinis,"304",0.249638143571954,-0.0130058045171932
"0",Calatie,"493",0.257104207411078,-0.0189405569183727
"0",Tmu (Thmuis),"2794",0.417140837014511,-0.0223477281241612
"0",Sure,"1723",0.502936776650655,-0.0276160253856931
"0",Gegetu,"185",0.148598199763866,-0.0239477304485984
"0",Ancon,"1344",0.453486370900278,-0.0102267124579171
"0",Rene,"1756",0.527778504364724,-0.0165974962548667
"0",Bingium,"3334",0.0720550751347371,-0.00444980268509222
"0",Lorano,"776",0.234777175330552,-0.0106808472303894
